Date,Team 1,Team 2,Venue (wrt Team 1),Predicted Spread,DK Line (Time of Bet),Closing Line,Actual Score,Units Risked,Error,Vegas Error,CLV,W/L,Payoff
1/24/2026,Morgan St.,Howard,A,Howard -15.53,Howard -12.5 (-118),Howard -14.5,"78-77, Morgan St.",0,16.53,15.5,2,LOSS,0
1/24/2026,Virginia Tech,Louisville,A,Louisville -14.15,Louisville -12.5 (-105),Louisville -14.5,"85-71, Louisville",0,0.15,0.5,2,WIN,0
1/24/2026,Nicholls St.,Southeastern Louisiana,A,Southeastern Lousiana -1.88,Southeastern Louisiana -1.5 (-102),Southeastern Louisiana -2.5,"67-61, Southeastern Louisiana",0,7.88,3.5,1,WIN,0
1/24/2026,UNC Wilmington,Hampton,A,UNC Wilmington -2.42,Hampton +3.5 (-105),Hampton +4,"75-67, UNC Wilmington",0,5.58,4,-0.5,LOSS,0
1/24/2026,New Orleans,McNeese St.,A,McNeese St. -13.88,New Orleans +18.5 (-112),New Orleans +18.5,"82-63, McNeese St.",1,5.12,0.5,0,LOSS,-1
1/24/2026,Queens,West Georgia,A,Queens -6.25,West Georgia +7.5 (-112),West Georgia +7.5,"74-66, West Georgia",0,14.25,15.5,0,WIN,0
1/24/2026,Illinois  ,Purdue,A,Purdue -0.99,Illinois +5.5 (-112),Illinois +6,"88-82, Illinois",0,6.99,12,-0.5,WIN,0
1/24/2026,UCF,Colorado  ,A,Colorado -0.16,UCF +2.5 (-112),UCF +3.5,"95-86, UCF",0,9.16,12.5,-1,WIN,0
1/24/2026,Iowa St.,Oklahoma St.,A,Iowa St. -8.12,Oklahoma St. +9.5 (-102),Oklahoma St. +10.5,"84-71, Iowa St.",0,4.88,2.5,-1,LOSS,0
1/24/2026,Oakland,Detroit Mercy,A,Oakland -2.14,Detriot Mercy +6.5 (-108),Detriot Mercy +6.5,"95-87, Oakland",1,5.86,1.5,0,LOSS,-1
1/24/2026,Richmond,George Washington,A,George Washington -10.16,George Washington -8.5 (-108),George Washington -10,"85-69, George Washington",0,5.84,6,1.5,WIN,0
1/24/2026,Troy,Georgia Southern,A,Troy -4.67,Troy -4.5 (-112),Troy -4.5,"83-78, Troy",0,0.33,0.5,0,WIN,0
1/24/2026,Saint Peter's,Merrimack,A,Merrimack -1.89,Saint Peter's +2.5 (-102),Saint Peter's +3,"67-59, Merrimack",0,6.11,5,-0.5,LOSS,0
1/24/2026,Eastern Kentucky,Jacksonville,A,Jacksonville -1.92,Jacksonville -1.5 (+105),Jacksonville -1.5,"81-76, Jacksonville",0,3.08,3.5,0,WIN,0
